surface,winner_rank,loser_rank
Clay,92,43
Clay,20,168
Clay,59,71
Clay,112,113
Clay,280,23
Clay,77,74
Clay,81,19
Clay,65,76
Clay,92,149
Clay,43,135
Clay,168,451
Clay,71,116
Clay,59,114
Clay,112,41
Clay,113,82
Clay,280,64
Clay,77,49
Clay,74,181
Clay,81,70
Clay,51,28
Clay,28,18
Clay,51,46
Clay,18,85
Clay,28,59
Clay,51,23
Clay,46,21
Clay,18,270
Clay,85,262
Clay,28,55
Clay,59,42
Clay,51,50
Clay,23,61
Clay,46,39
Clay,21,117
Clay,270,229
Clay,262,82
Clay,85,33
Clay,55,93
Clay,59,89
Clay,42,40
Clay,50,43
Clay,51,65
Clay,61,41
Clay,39,199
Clay,46,105
Clay,117,58
Grass,75,82
Grass,82,45
Grass,75,59
Grass,82,193
Grass,45,63
Grass,59,101
Grass,75,37
Grass,193,32
Grass,82,64
Grass,45,89
Grass,63,443
Grass,101,123
Grass,59,277
Grass,75,94
Grass,37,72
Grass,193,169
Grass,82,88
Grass,64,76
Grass,89,230
Grass,443,90
Grass,63,91
Grass,101,71
Grass,123,566
Grass,277,271
Grass,75,66
Grass,94,286
Grass,72,265
Clay,55,105
Clay,55,33
Clay,105,49
Clay,55,73
Clay,33,18
Clay,49,246
Clay,105,15
Clay,73,11
Clay,55,74
Clay,18,85
Clay,33,314
Clay,246,39
Clay,49,129
Clay,105,44
Clay,15,64
Clay,73,109
Clay,74,77
Clay,55,40
Clay,85,90
Clay,314,323
Clay,33,78
Clay,39,87
Clay,246,52
Clay,49,136
Clay,44,115
Clay,105,62
Clay,64,91
Hard,63,71
Hard,63,34
Hard,71,111
Hard,34,98
Hard,63,33
Hard,71,26
Hard,111,62
Hard,98,19
Hard,34,97
Hard,63,23
Hard,33,35
Hard,71,54
Hard,26,48
Hard,111,29
Hard,62,20
Hard,98,234
Hard,97,132
Hard,34,70
Hard,63,42
Hard,35,90
Hard,33,32
Hard,71,30
Hard,54,223
Hard,48,222
Hard,29,57
Hard,111,66
Hard,62,145
Hard,243,18
Hard,18,119
Hard,243,70
Hard,119,53
Hard,18,47
Hard,243,92
Hard,70,20
Hard,119,13
Hard,53,41
Hard,18,62
Hard,47,36
Hard,243,45
Hard,92,15
Hard,20,88
Hard,70,14
Hard,119,91
Hard,53,118
Hard,41,84
Hard,62,61
Hard,47,179
Hard,36,56
Hard,45,79
Hard,243,158
Hard,92,77
Hard,20,111
